,0
box_count,0.37169480042568165
total_weight,0.23727462833636065
delivery_timestamp,0.1005641181050234
D63,0.07758455456763082
D64,0.034705760976185655
Other,0.024495486651912455
D98,0.022005833261004897
True,0.01824975258623479
D18,0.018161820598862833
False,0.01729176109183415
Ground Floor,0.013288634311944622
D49,0.010633076459224218
Street level,0.009248088932436536
Van,0.009005035627286344
Truck,0.007016214435201208
Combi,0.0061388476180376855
D61,0.004603642225464475
D33,0.0037429611483526483
D27,0.0029983461518555397
D84,0.0027483911663528076
D58,0.0025066117982416015
D16,0.0020578488290557907
D9,0.002032989442272199
D13,0.0019507952535431515
