iteration_tracking;;;availability_rate;mean_stock
[6, 11.0];6; 11.0;0,616027745;38805,75186
[6, 12.0];6; 12.0;0,714487648;85191,1281
[6, 13.0];6; 13.0;0,784643959;124900,8977
[6, 14.0];6; 14.0;0,827871861;158059,7901
[6, 15.0];6; 15.0;0,856405564;188217,0286
[6, 16.0];6; 16.0;0,874036412;214661,3277
[6, 17.0];6; 17.0;0,886484295;240650,0557
[6, 18.0];6; 18.0;0,895754461;266295,5306
[6, 19.0];6; 19.0;0,904186368;292098,8428
[7, 12.0];7; 12.0;0,730222824;90801,17487
[7, 13.0];7; 13.0;0,812344881;136327,5516
[7, 14.0];7; 14.0;0,867976836;176074,8922
[7, 15.0];7; 15.0;0,899847141;209184,5542
[7, 16.0];7; 16.0;0,917527298;237914,3281
[7, 17.0];7; 17.0;0,92876984;265017,8752
[7, 18.0];7; 18.0;0,936105982;290883,8346
[7, 19.0];7; 19.0;0,940280844;315786,6689
[8, 13.0];8; 13.0;0,819335857;140348,315
[8, 14.0];8; 14.0;0,880348015;184477,6008
[8, 15.0];8; 15.0;0,92370193;225054,3508
[8, 16.0];8; 16.0;0,948126517;260081,4578
[8, 16.2];8; 16.2;0,949375688;264609,5991
[8, 16.4];8; 16.4;0,952197281;270938,1459
[8, 16.6];8; 16.6;0,954996959;277387,1389
[8, 16.8];8; 16.8;0,9571337;283158,7084
[8, 17.0];8; 17.0;0,958771867;288287,1967
[8, 17.2];8; 17.2;0,961127761;294374,9484
[8, 17.4];8; 17.4;0,961944105;299571,9564
[8, 17.6];8; 17.6;0,961631812;304328,2967
[8, 17.8];8; 17.8;0,964119197;310689,4178
[8, 18.0];8; 18.0;0,963839777;315315,6657
[8, 18.2];8; 18.2;0,965593;319732,8241
[8, 18.4];8; 18.4;0,966644934;325953,7535
[8, 18.6];8; 18.6;0,967691389;331249,0087
[8, 18.8];8; 18.8;0,968085864;336436,1759
[8, 19.0];8; 19.0;0,970030846;341917,8709
[8, 19.2];8; 19.2;0,968102301;344921,9635
[8, 19.4];8; 19.4;0,968743323;349663,7366
[8, 19.6];8; 19.6;0,970266435;356354,6873
[8, 19.8];8; 19.8;0,97038149;360912,6488
[8, 20.0];8; 20.0;0,970343139;366363,7344
[8, 20.2];8; 20.2;0,972173065;372429,7144
[8, 20.4];8; 20.4;0,971044428;374563,6739
[8, 20.6];8; 20.6;0,971504649;380038,5348
[8, 20.8];8; 20.8;0,973318139;385800,4933
[8, 21.0];8; 21.0;0,972534667;390010,7402
[8, 21.2];8; 21.2;0,972934621;395467,7577
[8, 21.4];8; 21.4;0,974068737;402100,9634
[8, 21.6];8; 21.6;0,975553498;407986,534
[8, 21.8];8; 21.8;0,974720717;412220,2727
[8, 22.0];8; 22.0;0,975274078;415569,3813
[8, 22.2];8; 22.2;0,975016573;421020,8606
[8, 22.4];8; 22.4;0,976446546;427047,4216
[8, 22.6];8; 22.6;0,975865791;431370,6487
[8, 22.8];8; 22.8;0,977010865;436060,7823
[8, 23.0];8; 23.0;0,976227393;440499,3141
[8, 23.2];8; 23.2;0,976841021;446583,2585
[8, 23.4];8; 23.4;0,978298388;453052,6813
[8, 23.6];8; 23.6;0,976873894;455721,1656
[8, 23.8];8; 23.8;0,977372467;461186,5655
[8, 24.0];8; 24.0;0,978073756;466558,2591
[9, 14.0];9; 14.0;0,88692808;190044,8317
[9, 15.0];9; 15.0;0,934615743;236479,8533
[9, 16.0];9; 16.0;0,961675643;276695,7105
[9, 16.2];9; 16.2;0,964825965;282406,7334
[9, 16.4];9; 16.4;0,967987245;289819,1572
[9, 16.6];9; 16.6;0,970891021;297029,7173
[9, 16.8];9; 16.8;0,973367448;303308,6026
[9, 17.0];9; 17.0;0,975361739;309192,0221
[9, 17.2];9; 17.2;0,976873894;314934,8518
[9, 17.4];9; 17.4;0,978868185;321247,0192
[9, 17.6];9; 17.6;0,979925598;327525,3981
[9, 17.8];9; 17.8;0,980856997;333415,3687
[9, 18.0];9; 18.0;0,981793876;339164,4854
[9, 18.2];9; 18.2;0,98275267;344642,489
[9, 18.4];9; 18.4;0,983338903;349840,185
[9, 18.6];9; 18.6;0,982993738;353713,8159
[9, 18.8];9; 18.8;0,98456616;360132,8932
[9, 19.0];9; 19.0;0,984297697;364502,0883
[9, 19.2];9; 19.2;0,985349631;371241,2981
[9, 19.4];9; 19.4;0,985294843;374835,3089
[9, 19.6];9; 19.6;0,98549208;380173,2908
[9, 19.8];9; 19.8;0,986034484;385944,455
[9, 20.0];9; 20.0;0,986012568;390257,6829
[9, 20.2];9; 20.2;0,987091896;396195,7461
[9, 20.4];9; 20.4;0,987113812;400067,0411
[9, 20.6];9; 20.6;0,986938489;405241,4144
[9, 20.8];9; 20.8;0,987776749;411263,3696
[9, 21.0];9; 21.0;0,987376795;416086,1389
[9, 21.2];9; 21.2;0,987283655;420179,7876
[9, 21.4];9; 21.4;0,988138351;426146,9978
[9, 21.6];9; 21.6;0,988439686;431787,5349
[9, 21.8];9; 21.8;0,988242449;436242,456
[9, 22.0];9; 22.0;0,988921823;441951,2642
[9, 22.2];9; 22.2;0,988828683;446183,3857
[9, 22.4];9; 22.4;0,988264364;450379,606
[9, 22.6];9; 22.6;0,988806767;455989,3364
[9, 22.8];9; 22.8;0,989414917;462262,1817
[9, 23.0];9; 23.0;0,989464226;467401,497
[9, 23.2];9; 23.2;0,98963407;470862,6842
[9, 23.4];9; 23.4;0,989749125;477119,6367
[9, 23.6];9; 23.6;0,989623112;481512,1471
[9, 23.8];9; 23.8;0,989902532;487056,6959
[9, 24.0];9; 24.0;0,990023066;490361,2777
[10, 15.0];10; 15.0;0,93686206;241795,8342
[10, 16.0];10; 16.0;0,96368637;285310,8791
[10, 16.2];10; 16.2;0,969910312;294565,8781
[10, 16.4];10; 16.4;0,972014179;301603,1241
[10, 16.6];10; 16.6;0,976725966;310936,631
[10, 16.8];10; 16.8;0,979892725;318029,2649
[10, 17.0];10; 17.0;0,981317218;324302,1849
[10, 17.2];10; 17.2;0,984001841;331969,2211
[10, 17.4];10; 17.4;0,986922053;340833,6227
[10, 17.6];10; 17.6;0,986198848;345943,8026
[10, 17.8];10; 17.8;0,98902592;353641,5486
[10, 18.0];10; 18.0;0,990269613;359319,069
[10, 18.2];10; 18.2;0,990494244;365238,4613
[10, 18.4];10; 18.4;0,990801059;371629,5909
[10, 18.6];10; 18.6;0,991842035;378365,9912
[10, 18.8];10; 18.8;0,9926529;382662,0599
[10, 19.0];10; 19.0;0,992663858;388916,4888
[10, 19.2];10; 19.2;0,993151473;393692,7352
[10, 19.4];10; 19.4;0,9935843;400000,4378
[10, 19.6];10; 19.6;0,993819889;405002,3882
[10, 19.8];10; 19.8;0,994066436;410346,3597
[10, 20.0];10; 20.0;0,994006169;415323,1222
[10, 20.2];10; 20.2;0,994674585;420548,9488
[10, 20.4];10; 20.4;0,99483895;426955,8143
[10, 20.6];10; 20.6;0,994712937;430516,7883
[10, 20.8];10; 20.8;0,995315608;437324,375
[10, 21.0];10; 21.0;0,995266298;440965,9854
[10, 21.2];10; 21.2;0,995403269;446617,3894
[10, 21.4];10; 21.4;0,995485451;451974,4157
[10, 21.6];10; 21.6;0,995649816;457171,4737
[10, 21.8];10; 21.8;0,995381353;460550,5292
[10, 22.0];10; 22.0;0,995638858;465877,9702
[10, 22.2];10; 22.2;0,995693646;471649,1445
[10, 22.4];10; 22.4;0,995731998;475486,6468
[10, 22.6];10; 22.6;0,995808701;483576,786
[10, 22.8];10; 22.8;0,995704604;486456,9285
[10, 23.0];10; 23.0;0,995989503;492838,6024
[10, 23.2];10; 23.2;0,996088121;496449,3971
[10, 23.4];10; 23.4;0,995934714;500241,0451
[10, 23.6];10; 23.6;0,996137431;507293,118
[10, 23.8];10; 23.8;0,996055248;511096,5925
[10, 24.0];10; 24.0;0,996367541;516957,4843
[11, 16.0];11; 16.0;0,966047742;291380,1208
[11, 16.2];11; 16.2;0,969515837;299979,7237
[11, 16.4];11; 16.4;0,973548249;308844,6461
[11, 16.6];11; 16.6;0,978134023;319116,4028
[11, 16.8];11; 16.8;0,979898203;326730,1991
[11, 17.0];11; 17.0;0,982977301;335605,8387
[11, 17.2];11; 17.2;0,985393462;344185,1468
[11, 17.4];11; 17.4;0,987853452;351902,979
[11, 17.6];11; 17.6;0,990461372;361523,4018
