iteration_tracking,availability_rate,mean_stock
"[4.0, 4.5]",0.9848510582343949,-284461.30235479574
"[4.0, 5.0]",0.9698829175820864,-260100.13061765727
"[4.0, 5.5]",0.950844012469798,-235226.3490010668
"[4.0, 6.0]",0.921718596764208,-207940.28199817505
"[4.0, 6.5]",0.888878540003616,-184621.518436379
"[4.0, 7.0]",0.8449000388996335,-158633.30571293924
"[4.0, 7.5]",0.7991080478410704,-134470.9742223763
"[4.0, 8.0]",0.7440184965017724,-108115.88629893659
"[4.0, 8.5]",0.6898274719073422,-84959.36210700359
"[4.0, 9.0]",0.6309684912968918,-60414.73529589268
"[4.0, 9.5]",0.572860109247703,-36063.57675875421
"[4.0, 10.0]",0.5208880074073668,-14550.692046273418
"[4.0, 10.5]",0.474898778770662,5146.8142552485515
"[4.0, 11.0]",0.4323666865730519,24457.677756770525
"[4.0, 11.5]",0.3962996038811972,42165.589395278796
"[4.0, 12.0]",0.366692051873483,57860.840474882956
"[4.5, 5.0]",0.9696528070742545,-257893.00812450657
"[4.5, 5.5]",0.9509097583291786,-234761.6670229846
"[4.5, 6.0]",0.9221021142772613,-208745.45123653123
"[4.5, 6.5]",0.8852953906673753,-181841.4702774749
"[4.5, 7.0]",0.8466368253516033,-159097.18891293925
"[4.5, 7.5]",0.7974863166430164,-134342.27174566398
"[4.5, 8.0]",0.7423091041578778,-108511.05838112837
"[4.5, 8.5]",0.6885837794007265,-84512.09128508577
"[4.5, 9.0]",0.6239172478783264,-58193.617049317334
"[4.5, 9.5]",0.5675840040324127,-35059.74996971311
"[4.5, 10.0]",0.5085990105248164,-11062.061492848758
"[4.5, 10.5]",0.45480793990828455,11906.568436070469
"[4.5, 11.0]",0.41499882205335276,29871.775312934908
"[4.5, 11.5]",0.3721160852723796,50258.00653500483
"[4.5, 12.0]",0.34318790714493125,65903.32891871857
"[5.0, 5.5]",0.9490086072287572,-233043.5592366832
"[5.0, 6.0]",0.9223650977147835,-209110.80129680518
"[5.0, 6.5]",0.887941661507443,-183890.1771103516
"[5.0, 7.0]",0.8438481051495444,-157183.03178965158
"[5.0, 7.5]",0.7960727806663342,-133525.29212922562
