iteration_tracking;availability_rate;mean_stock
[6, 11];0,383972255;38805,75186
[6, 12];0,616027745;85191,1281
[6, 13];0,714487648;124900,8977
[6, 14];0,784643959;158059,7901
[6, 15];0,827871861;188217,0286
[6, 16];0,856405564;214661,3277
[6, 17];0,874036412;240650,0557
[6, 18];0,886484295;266295,5306
[6, 19];0,895754461;292098,8428
[7, 12];0,904186368;90801,17487
[7, 13];0,730222824;136327,5516
[7, 14];0,812344881;176074,8922
[7, 15];0,867976836;209184,5542
[7, 16];0,899847141;237914,3281
[7, 17];0,917527298;265017,8752
[7, 18];0,92876984;290883,8346
[7, 19];0,936105982;315786,6689
[8, 13];0,940280844;140348,315
[8, 14];0,819335857;184477,6008
[8, 15];0,880348015;225054,3508
[8, 16];0,92370193;260081,4578
[8, 17];0,948126517;288287,1967
[8, 18];0,958771867;315315,6657
[8, 19];0,963839777;341917,8709
[9, 14];0,970030846;190044,8317
[9, 15];0,88692808;236479,8533
[9, 16];0,934615743;276695,7105
[9, 17];0,961675643;309192,0221
[9, 18];0,975361739;339164,4854
[9, 19];0,981793876;364502,0883
[10, 15];0,984297697;241795,8342
[10, 16];0,93686206;285310,8791
[10, 17];0,96368637;324302,1849
[10, 18];0,981317218;359319,069
[10, 19];0,990269613;388916,4888
[11, 16];0,992663858;291380,1208
[11, 17];0,966047742;335605,8387
[11, 18];0,982977301;373868,7189
[11, 19];0,992313213;410027,603
;0,996301795;
