iteration_tracking,availability_rate,mean_stock
"[8,16.0]",0.05356643893031487,257551.49524870212
"[8,16.2]",0.05062431172303461,264609.5990635578
"[8,16.4]",0.04780271859128539,270938.14590854995
"[8,16.6]",0.04500304074599635,277387.1388795698
"[8,16.8]",0.04286630031612801,283158.70840949344
"[8,17.0]",0.04201160414418067,287969.81288736255
"[8,17.2]",0.03887223935875872,294374.9484392043
"[8,17.4]",0.03805589493811671,299571.95644036104
"[8,17.6]",0.03836818777017439,304328.29665521625
"[8,17.8]",0.03588080275694304,310689.41777966096
"[8,18.0]",0.03524525944959758,315536.5898904066
"[8,18.2]",0.034406999742495385,319732.8240723852
"[8,18.4]",0.033355065992406355,325953.75347080204
"[8,18.6]",0.03230861106393237,331249.0086664794
"[8,18.8]",0.03191413590764898,336436.17587859515
"[8,19.0]",0.03221547109647657,340128.6969098889
"[8,19.2]",0.031897699442803844,344921.9634589906
"[8,19.4]",0.03125667731384334,349663.73664370883
"[8,19.6]",0.029733564904860264,356354.68734623585
"[8,19.8]",0.029618509650944275,360912.64883780346
"[8,20.0]",0.029656861402249605,366363.7344115628
"[8,20.2]",0.027826934982823893,372429.71440176043
"[8,20.4]",0.028955572235523582,374563.67392620473
"[8,20.6]",0.028495351219859633,380038.53477119753
"[8,20.8]",0.026681861265279064,385800.4932709843
"[8,21.0]",0.02746533275623079,390010.74015981203
"[8,21.2]",0.027065378778332358,395467.75768425677
"[8,21.4]",0.02593126270401762,402100.96337308467
"[8,21.6]",0.024446502046339875,407986.5339605426
"[8,21.8]",0.025279282931827022,412220.2727233431
"[8,22.0]",0.02472592194870727,415569.3812834039
"[8,22.2]",0.024983426564614483,421020.86057771154
"[8,22.4]",0.023553454123087205,427047.42161996395
"[8,22.6]",0.024134209214282193,431370.6486676961
"[8,22.8]",0.02298913549673736,436060.78232912713
"[8,23.0]",0.02377260698768909,440499.3140891878
"[8,23.2]",0.02315897896680382,446583.258473906
"[8,23.4]",0.021701612417201307,453052.6812750626
"[8,23.6]",0.02312610603711354,455721.1655611508
"[8,23.8]",0.022627533270144256,461186.5655239517
"[8,24.0]",0.021926244103418237,466558.2590922316
"[9,16.0]",0.03960092263355997,274416.4085089761
"[9,16.2]",0.03517403476860197,282406.73343616055
"[9,16.4]",0.03201275469671983,289819.15721265954
"[9,16.6]",0.0291089792407449,297029.71733984374
"[9,16.8]",0.02663255187074364,303308.60259579483
"[9,17.0]",0.02565732162326527,308167.454892842
"[9,17.2]",0.02312610603711354,314934.8518364646
"[9,17.4]",0.021131814969236416,321247.0192074843
"[9,17.6]",0.02007440239753234,327525.3980908327
"[9,17.8]",0.019143002722974343,333415.36867829115
"[9,18.0]",0.017734945567907254,338353.4114027354
"[9,18.2]",0.01724733044416807,344642.4889929332
"[9,18.4]",0.016661096531358034,349840.1850324459
"[9,18.6]",0.017006262293106,353713.8158555204
"[9,18.8]",0.0154338404895875,360132.893160787
"[9,19.0]",0.014666805463480915,365694.69822495733
"[9,19.2]",0.014650368998635773,371241.29814940155
"[9,19.4]",0.014705157214786244,374835.3089286403
"[9,19.6]",0.01450791963664455,380173.29075993446
"[9,19.8]",0.013965516296754894,385944.4550241048
