iteration_tracking;availability_rate;mean_stock
[14,25];0,702549296;150444,7273
[14,26];0,770623654;201488,3788
[14,27];0,829959292;248357,9288
[14,28];0,883142214;294924,7948
[14,29];0,916305521;333317,2315
[14,30];0,931284619;364510,715
[14,31];0,935678634;389313,5675
[14,32];0,939267262;413951,368
[14,33];0,943283239;439741,7874
[14,34];0,94476252;463873,4689
[14,35];0,948466204;490262,8999
[14,36];0,949803036;513672,5135
[14,37];0,95266846;540124,7448
[14,38];0,954476471;565059,4073
[14,39];0,955747558;589776,6289
[15,26];0,76883208;200080,7497
[15,27];0,833646539;250546,1844
[15,28];0,890335907;298738,7947
[15,29];0,936221038;344948,0185
[15,30];0,961631812;382952,9983
[15,31];0,970945809;413094,0958
[15,32];0,974211187;439611,7031
[15,33];0,975931537;465245,1664
[15,34];0,976736923;489800,4686
[15,35];0,977597098;515021,0815
[15,36];0,979361279;540431,0414
[15,37];0,979733839;565149,0678
[15,38];0,98135557;590924,0877
[15,39];0,981919889;615869,2424
[16,27];0,833054827;250068,2794
[16,28];0,893447877;300400,378
[16,29];0,941431397;350262,5962
[16,30];0,972375781;396294,8271
[16,32];0,991568094;462463,4583
[16,33];0,993217219;489230,7713
[16,34];0,993765101;514158,5835
[16,35];0,993945902;540315,4522
[16,36];0,994121224;565332,1935
[16,37];0,994554051;590058,8614
[16,38];0,994362293;614686,3387
[16,39];0,995047145;640800,0396
[17,28];0,893102711;300670,4087
[17,29];0,940258929;349411,5002
[17,30];0,973477025;399840,7685
[17,33];0,998685083;513331,6277
[17,34];0,998833011;539508,8748
[17,35];0,998860405;565845,4735
[17,36];0,998926151;590205,3067
[17,37];0,999167219;614690,485
[17,38];0,999150783;640336,3615
[17,39];0,999106952;665016,9374
[18,29];0,941809436;350817,2997
[18,30];0,974189271;401532,5437
[18,34];0,999835635;563679,9293
[18,35];0,999846593;590080,8457
[18,36];0,999912339;615549,8951
[18,37];0,999923296;639210,2979
[18,38];0,999912339;665094,0809
[18,39];0,999923296;689407,9243
[19,30];0,973564686;401613,1012
[19,35];0,999994521;613917,6328
[19,36];1;639570,9466
[19,37];0,999994521;665724,5967
[19,38];0,999983564;690121,0632
[19,39];0,999994521;715375,488
[20,36];1;664471,1711
[20,37];1;689820,5956
[20,38];1;715200,359
[20,39];1;741217,0197
[21,37];1;714629,1159
[21,38];1;740497,9239
[21,39];1;765461,5712
[22,38];1;764298,1311
[22,39];1;790050,118
[23,39];1;814401,6904
