iteration_tracking,availability_rate,mean_stock
"[14,30]",0.9311202546556286,363096.4784036455
"[14,31]",0.9356786342393478,389313.56754915504
"[14,32]",0.9392672623972036,413951.3679549387
"[14,33]",0.943283238641033,439741.7874456542
"[14,34]",0.9447625204770957,463873.4688651362
"[14,35]",0.9484662038888676,490262.89989009785
"[14,36]",0.9498030363629391,513672.51348492265
"[14,37]",0.9526684600676086,540124.7447619387
"[14,38]",0.9544764712005742,565059.4073101887
"[14,39]",0.9557475578152651,589776.6288885752
"[15,31]",0.9709458089754056,413094.0957847715
"[15,32]",0.9742111866579736,439611.7030617879
"[15,33]",0.9759315366450984,465245.16642099665
"[15,34]",0.9767369234225103,489800.46863499924
"[15,35]",0.9775970984160727,515021.0814517417
"[15,36]",0.9793612789761178,540431.041402731
"[15,37]",0.979733838845941,565149.0678139935
"[15,38]",0.981355570043995,590924.0876992298
"[15,39]",0.9819198886703447,615869.2423844656
"[16,32]",0.9915680935344426,462463.4583330208
"[16,33]",0.9932172188405718,489230.77128127066
"[16,34]",0.9937651010020765,514158.5835445881
"[16,35]",0.993945902115373,540315.4522133855
"[16,36]",0.9941212244070545,565332.1934849228
"[16,37]",0.9945540513146433,590058.8614139935
"[16,38]",0.9943622925581166,614686.3387184079
"[16,39]",0.9950471452599975,640800.0395625478
"[17,33]",0.9986850828123887,513331.6276538734
"[17,34]",0.998833010995995,539508.8747939032
"[17,35]",0.9988604051040703,565845.473539413
"[17,36]",0.9989261509634508,590205.3067177994
"[17,37]",0.9991672191145129,614690.4850413908
"[17,38]",0.9991507826496677,640336.3614636133
"[17,39]",0.9991069520767474,665016.9374036439
"[18,34]",0.9998356353515486,563679.9293308895
"[18,35]",0.9998465929947787,590080.8457476321
"[18,36]",0.9999123388541592,615549.8951342378
"[18,37]",0.9999232964973893,639210.2979016647
"[18,38]",0.9999123388541592,665094.0808553941
"[18,39]",0.9999232964973893,689407.9242748767
"[19,35]",0.9999945211783849,613917.6327668101
"[19,36]",1.0,639570.9466465666
"[19,37]",0.9999945211783849,665724.5967345415
"[19,38]",0.9999835635351548,690121.0631677229
"[19,39]",0.9999945211783849,715375.4880063836
"[20,36]",1.0,664471.17111232
"[20,37]",1.0,689820.5956112538
"[20,38]",1.0,715200.3590416955
"[20,39]",1.0,741217.0196611782
"[21,37]",1.0,714629.1159126237
"[21,38]",1.0,740497.9239184079
"[21,39]",1.0,765461.5712173425
"[22,38]",1.0,764298.1310855312
"[22,39]",1.0,790050.1180447398
"[23,39]",1.0,814401.690411863
